49.153778 19.810833 -0.016242
48.932762 19.554260 -0.021121
48.008598 18.481422 -0.041523
47.999317 18.470650 -0.041728
47.181778 17.521593 -0.059776
46.625572 16.877983 -0.299574
45.467087 15.537453 -0.799032
43.062851 12.755408 -1.835573
42.145321 11.693694 -2.231149
41.807339 11.302601 -2.376863
41.684677 11.160662 -2.429747
41.549694 11.004468 -2.487942
39.765755 8.940199 -3.257053
39.563614 8.706294 -3.344201
36.107506 4.707085 -4.834236
35.366432 3.849555 -5.153737
35.224937 3.685827 -5.214739
33.889133 2.140111 -5.790646
32.791962 0.870528 -6.263670
31.290146 -0.867287 -6.911150
31.191339 -0.981620 -6.953748
30.948236 -1.262926 -7.058558
29.265614 -3.209959 -7.783988
28.394829 -4.217581 -8.159410
26.839878 -6.016880 -8.829798
25.406054 -7.676018 -9.447964
24.961018 -8.190989 -9.639832
24.682096 -8.513741 -9.760084
21.827368 -11.817068 -10.990846
